10-07-2021 12:04:03 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:i, limit:20
10-07-2021 12:04:03 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 12:04:30 | 84.247.50.45> UPDATE>new> INFO: 	vnr:18986, sem:20210 successfully created
10-07-2021 12:04:37 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:i, limit:20
10-07-2021 12:04:37 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 12:04:37 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:in, limit:20
10-07-2021 12:04:37 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 12:04:56 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:i, limit:20
10-07-2021 12:04:56 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 12:04:56 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:, limit:20
10-07-2021 12:04:56 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 12:04:57 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:p, limit:20
10-07-2021 12:04:57 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 12:04:57 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:pyt, limit:20
10-07-2021 12:04:57 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 12:04:57 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:pytho, limit:20
10-07-2021 12:04:57 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 12:04:57 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:python, limit:20
10-07-2021 12:04:57 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 12:04:57 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:py, limit:20
10-07-2021 12:04:57 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 12:04:57 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:pyth, limit:20
10-07-2021 12:04:57 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 12:05:09 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:18984, sem:20210
10-07-2021 12:05:09 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 4 Results
10-07-2021 12:06:00 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:18986, sem:20210
10-07-2021 12:06:00 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 0 Results
10-07-2021 12:14:49 | 84.247.50.45> UPDATE>new> INFO: 	vnr:18986, sem:20210 successfully created
10-07-2021 12:14:53 | 84.247.50.45> UPDATE>new> INFO: 	vnr:18986, sem:20210 successfully created
10-07-2021 12:15:25 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:18984, sem:20210
10-07-2021 12:15:25 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 4 Results
10-07-2021 12:15:35 | 84.247.50.45> UPDATE>new> ERROR: 	vnr:18984, sem:20210 already exists
10-07-2021 12:15:49 | 84.247.50.45> UPDATE>new> INFO: 	vnr:18986, sem:20210 successfully created
10-07-2021 12:15:50 | 84.247.50.45> UPDATE>new> ERROR: 	vnr:18986, sem:20210 already exists
10-07-2021 12:17:56 | 84.247.50.45> UPDATE>new> ERROR: 	vnr:18986, sem:20210 already exists
10-07-2021 12:18:09 | 84.247.50.45> UPDATE>new> INFO: 	vnr:18987, sem:20210 successfully created
10-07-2021 12:18:11 | 84.247.50.45> UPDATE>new> INFO: 	vnr:18987, sem:20210 successfully created
10-07-2021 12:18:38 | 84.247.50.45> UPDATE>new> INFO: 	vnr:18987, sem:20210 successfully created
10-07-2021 12:18:38 | 84.247.50.45> UPDATE>new> ERROR: 	vnr:18987, sem:20210 already exists
10-07-2021 12:18:57 | 84.247.50.45> UPDATE>new> ERROR: 	vnr:18987, sem:20210 already exists
10-07-2021 12:19:14 | 84.247.50.45> UPDATE>new> INFO: 	vnr:18988, sem:20210 successfully created
10-07-2021 12:19:16 | 84.247.50.45> UPDATE>new> INFO: 	vnr:18988, sem:20210 successfully created
10-07-2021 12:19:20 | 84.247.50.45> UPDATE>new> INFO: 	vnr:18988, sem:20210 successfully created
10-07-2021 12:19:21 | 84.247.50.45> UPDATE>new> INFO: 	vnr:18988, sem:20210 successfully created
10-07-2021 12:19:31 | 84.247.50.45> UPDATE>new> INFO: 	vnr:18988, sem:20210 successfully created
10-07-2021 12:19:31 | 84.247.50.45> UPDATE>new> ERROR: 	vnr:18988, sem:20210 already exists
10-07-2021 12:19:58 | 84.247.50.45> UPDATE>new> INFO: 	vnr:18989, sem:20210 successfully created
10-07-2021 12:19:59 | 84.247.50.45> UPDATE>new> ERROR: 	vnr:18989, sem:20210 already exists
10-07-2021 12:20:18 | 84.247.50.45> UPDATE>new> INFO: 	vnr:189890, sem:20210 successfully created
10-07-2021 12:20:19 | 84.247.50.45> UPDATE>new> INFO: 	vnr:189890, sem:20210 successfully created
10-07-2021 12:20:26 | 84.247.50.45> UPDATE>new> INFO: 	vnr:189890, sem:20210 successfully created
10-07-2021 12:20:27 | 84.247.50.45> UPDATE>new> ERROR: 	vnr:189890, sem:20210 already exists
10-07-2021 12:20:57 | 84.247.50.45> UPDATE>new> INFO: 	vnr:189891, sem:20210 successfully created
10-07-2021 12:20:58 | 84.247.50.45> UPDATE>new> ERROR: 	vnr:189891, sem:20210 already exists
10-07-2021 12:40:10 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:i, limit:20
10-07-2021 12:40:10 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 12:40:10 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:in, limit:20
10-07-2021 12:40:10 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 12:40:12 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:18984, sem:20211
10-07-2021 12:40:12 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 4 Results
10-07-2021 12:40:14 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:18984, sem:20211
10-07-2021 12:40:15 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 4 Results
10-07-2021 12:41:35 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:p, limit:20
10-07-2021 12:41:35 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 12:41:36 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:py, limit:20
10-07-2021 12:41:36 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 12:41:36 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:pyt, limit:20
10-07-2021 12:41:36 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 12:41:37 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:pyth, limit:20
10-07-2021 12:41:37 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 12:41:37 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:pytho, limit:20
